# Test:	Laser Sweep (sweepLaser)
# User:	memQ
# Settings:
#	Laser:	Santec_TSL570
#	Detector:	Santec_MPM210
#	Sweep speed:	1 nm/s
#	Laser power:	-8 dBm
#	Wavelength step-size:	0.01 nm
#	Start wavelength:	1563 nm
#	Stop wavelength:	1566 nm
#	Stitch count:	0 
#	Init Range:	-15 
#	New sweep plot behavior:	replace
#	Turn off laser when done:	yes
#	Skip sweep if fine align fails:	yes
# Metric Tag, value [, value]
wavelength,1563,1563.01,1563.02,1563.03,1563.04,1563.05,1563.06,1563.07,1563.08,1563.09,1563.1,1563.11,1563.12,1563.13,1563.14,1563.15,1563.16,1563.17,1563.18,1563.19,1563.2,1563.21,1563.22,1563.23,1563.24,1563.25,1563.26,1563.27,1563.28,1563.29,1563.3,1563.31,1563.32,1563.33,1563.34,1563.35,1563.36,1563.37,1563.38,1563.39,1563.4,1563.41,1563.42,1563.43,1563.44,1563.45,1563.46,1563.47,1563.48,1563.49,1563.5,1563.51,1563.52,1563.53,1563.54,1563.55,1563.56,1563.57,1563.58,1563.59,1563.6,1563.61,1563.62,1563.63,1563.64,1563.65,1563.66,1563.67,1563.68,1563.69,1563.7,1563.71,1563.72,1563.73,1563.74,1563.75,1563.76,1563.77,1563.78,1563.79,1563.8,1563.81,1563.82,1563.83,1563.84,1563.85,1563.86,1563.87,1563.88,1563.89,1563.9,1563.91,1563.92,1563.93,1563.94,1563.95,1563.96,1563.97,1563.98,1563.99,1564,1564.01,1564.02,1564.03,1564.04,1564.05,1564.06,1564.07,1564.08,1564.09,1564.1,1564.11,1564.12,1564.13,1564.14,1564.15,1564.16,1564.17,1564.18,1564.19,1564.2,1564.21,1564.22,1564.23,1564.24,1564.25,1564.26,1564.27,1564.28,1564.29,1564.3,1564.31,1564.32,1564.33,1564.34,1564.35,1564.36,1564.37,1564.38,1564.39,1564.4,1564.41,1564.42,1564.43,1564.44,1564.45,1564.46,1564.47,1564.48,1564.49,1564.5,1564.51,1564.52,1564.53,1564.54,1564.55,1564.56,1564.57,1564.58,1564.59,1564.6,1564.61,1564.62,1564.63,1564.64,1564.65,1564.66,1564.67,1564.68,1564.69,1564.7,1564.71,1564.72,1564.73,1564.74,1564.75,1564.76,1564.77,1564.78,1564.79,1564.8,1564.81,1564.82,1564.83,1564.84,1564.85,1564.86,1564.87,1564.88,1564.89,1564.9,1564.91,1564.92,1564.93,1564.94,1564.95,1564.96,1564.97,1564.98,1564.99,1565,1565.01,1565.02,1565.03,1565.04,1565.05,1565.06,1565.07,1565.08,1565.09,1565.1,1565.11,1565.12,1565.13,1565.14,1565.15,1565.16,1565.17,1565.18,1565.19,1565.2,1565.21,1565.22,1565.23,1565.24,1565.25,1565.26,1565.27,1565.28,1565.29,1565.3,1565.31,1565.32,1565.33,1565.34,1565.35,1565.36,1565.37,1565.38,1565.39,1565.4,1565.41,1565.42,1565.43,1565.44,1565.45,1565.46,1565.47,1565.48,1565.49,1565.5,1565.51,1565.52,1565.53,1565.54,1565.55,1565.56,1565.57,1565.58,1565.59,1565.6,1565.61,1565.62,1565.63,1565.64,1565.65,1565.66,1565.67,1565.68,1565.69,1565.7,1565.71,1565.72,1565.73,1565.74,1565.75,1565.76,1565.77,1565.78,1565.79,1565.8,1565.81,1565.82,1565.83,1565.84,1565.85,1565.86,1565.87,1565.88,1565.89,1565.9,1565.91,1565.92,1565.93,1565.94,1565.95,1565.96,1565.97,1565.98,1565.99,1566
channel_1,-38.4694,-39.0357,-38.1672,-38.6467,-38.6033,-38.5594,-38.552,-38.4749,-38.1663,-38.9772,-38.7074,-38.5693,-39.271,-38.3533,-39.3737,-39.6567,-39.5064,-39.8955,-39.5196,-40.6222,-40.5404,-39.9208,-41.0144,-40.0275,-40.1835,-40.5579,-39.6687,-40.928,-40.4825,-39.1957,-41.3858,-39.2658,-40.3495,-40.3595,-39.2028,-39.8854,-39.7454,-39.4717,-40.4594,-39.5221,-39.6523,-40.3434,-39.7505,-40.2988,-40.3143,-39.9075,-40.35,-40.0611,-40.5121,-40.0199,-40.8531,-39.8516,-40.3755,-40.2238,-40.1922,-40.5727,-40.0759,-40.4256,-40.3706,-40.3948,-40.7014,-40.8307,-40.0573,-40.8219,-40.6613,-40.348,-40.4264,-40.4326,-40.5277,-40.1188,-40.5499,-40.3231,-39.909,-40.3487,-40.0589,-39.9193,-39.9515,-39.825,-39.8878,-39.9109,-39.7557,-39.7797,-39.7384,-39.8644,-39.7022,-39.9531,-39.7467,-40.2896,-39.6743,-39.8078,-39.7593,-40.1458,-39.6888,-40.0173,-39.402,-39.9012,-39.4494,-39.6957,-39.3121,-39.4007,-39.2539,-39.2739,-39.1467,-39.1346,-38.9006,-38.9393,-39.0859,-38.854,-38.719,-38.9771,-38.5665,-38.7827,-38.7082,-38.4945,-38.5585,-38.3334,-38.2538,-38.3852,-38.23,-38.088,-38.1448,-37.9267,-37.9042,-37.844,-37.7361,-37.6889,-37.6276,-37.5287,-37.5056,-37.3702,-37.3907,-37.2729,-37.2223,-37.1713,-37.0337,-37.0132,-36.9137,-36.849,-36.8465,-36.7385,-36.7169,-36.6505,-36.609,-36.55,-36.5214,-36.4828,-36.4046,-36.3908,-36.3602,-36.3623,-36.3669,-36.3577,-36.4578,-36.4259,-36.6092,-36.6467,-36.7334,-37.073,-37.0813,-37.6699,-37.8674,-38.3366,-39.3659,-39.8802,-41.0782,-42.9689,-45.4494,-52.0461,-110,-49.1108,-42.9907,-40.2591,-38.8269,-37.4772,-37.4336,-36.7326,-36.4097,-36.4331,-36.1791,-35.6617,-35.7817,-35.7838,-35.4342,-35.546,-35.2896,-35.6337,-35.1219,-35.4902,-35.2638,-35.1221,-35.1961,-34.9711,-35.0301,-34.8246,-34.9423,-34.8046,-34.7176,-34.7693,-34.8874,-34.7601,-34.6299,-34.5975,-34.6546,-34.6612,-34.5014,-34.8635,-34.5988,-34.383,-35.1271,-34.6773,-34.6377,-35.0163,-34.5739,-34.8662,-34.9426,-35.0803,-34.6881,-34.9465,-34.5268,-35.233,-34.701,-34.9128,-34.9549,-34.6348,-35.0449,-35.0707,-34.875,-35.0721,-35.1023,-34.7511,-35.0465,-34.7687,-35.0796,-34.8986,-35.0131,-35.2435,-35.4274,-35.4654,-35.0733,-35.5059,-35.2265,-35.2375,-35.424,-35.3707,-35.6565,-35.581,-36.2207,-36.1216,-36.4626,-36.5945,-36.853,-36.0548,-37.5259,-36.6212,-36.767,-37.3959,-36.9451,-37.1029,-37.4986,-36.9897,-37.9211,-37.127,-37.2401,-38.0406,-36.8924,-37.7986,-37.457,-37.2912,-37.4913,-37.2248,-37.6304,-37.3152,-37.3547,-37.6669,-37.5449,-37.3533,-38.0879,-37.6902,-37.7154,-38.3571,-37.9296,-37.9632,-38.5005,-38.2497,-38.4028,-38.5414,-38.2863,-38.7309,-38.6076,-38.5455,-39.0462,-38.8154,-38.751,-39.1535,-38.9451,-39.1212,-39.1449,-39.1086,-39.2081,-39.1037,-39.4006
channel_2,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
channel_3,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
channel_4,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110
